"ID",NAME,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE,DURATION,YIELD
RTSI,Индекс РТС,2006-07-10,1548.27,1555.75,1539.96,1555.69,34209300,,
RTSI,Индекс РТС,2006-07-11,1555.27,1564.21,1550.4,1551.83,42250055,,
RTSI,Индекс РТС,2006-07-12,1553.98,1570.99,1552.26,1552.4,49551592,,
RTSI,Индекс РТС,2006-07-13,1552.28,1553.82,1486.13,1487.51,34424676,,
RTSI,Индекс РТС,2006-07-14,1487.19,1499.6,1459.51,1484.58,36795326,,
RTSI,Индекс РТС,2006-07-17,1485.55,1485.55,1457.01,1459.55,23646054,,
RTSI,Индекс РТС,2006-07-18,1457.9,1457.9,1435.44,1455.62,24643760,,
RTSI,Индекс РТС,2006-07-19,1455.78,1481.89,1449.01,1481.89,31606540,,
RTSI,Индекс РТС,2006-07-20,1484.22,1516.64,1484.22,1503.64,53510082,,
RTSI,Индекс РТС,2006-07-21,1503.43,1503.43,1490.09,1490.09,11562850,,
RTSI,Индекс РТС,2006-07-24,1489.5,1499.68,1486.88,1499.68,15294959,,
RTSI,Индекс РТС,2006-07-25,1502.02,1512.07,1502.02,1506.38,30635210,,
RTSI,Индекс РТС,2006-07-26,1505.53,1511.63,1505.53,1511.4,28490097,,
RTSI,Индекс РТС,2006-07-27,1511.76,1560.88,1511.76,1560.17,63096393,,
RTSI,Индекс РТС,2006-07-28,1559.6,1559.6,1544.24,1555.58,21523330,,
RTSI,Индекс РТС,2006-07-31,1556.39,1565.46,1550.39,1551.09,29876994,,
RTSI,Индекс РТС,2006-08-01,1551.09,1570.85,1544.52,1544.88,31014335,,
RTSI,Индекс РТС,2006-08-02,1545.76,1569.9,1545.76,1569.9,27936521,,
RTSI,Индекс РТС,2006-08-03,1583.97,1602.82,1580.41,1596.08,54432010,,
RTSI,Индекс РТС,2006-08-04,1596.29,1631.2,1593.95,1629.23,53189555,,
